variable,n,Month,percentage
month,1080,Sep 2020,5.230784133288129
month,1414,Oct 2020,6.848452559693902
month,1382,Nov 2020,6.693466363152031
month,1449,Dec 2020,7.017968712161574
month,1509,Jan 2021,7.30856783067758
month,1532,Feb 2021,7.419964159442049
month,1557,Mar 2021,7.541047125490385
month,1417,Apr 2021,6.862982515619703
month,1422,May 2021,6.88719910882937
month,1456,Jun 2021,7.051871942655108
month,1349,Jul 2021,6.533636847968227
month,1170,Aug 2021,5.66668281106214
month,1729,Sep 2021,8.37409793190294
month,1538,Oct 2021,7.44902407129365
month,328,Nov 2021,1.5886085145541726
month,178,Dec 2021,0.8621107182641545
month,137,Jan 2022,0.6635346539448831
