variable,Type,n,percentage
clinic,adolescent,178,0.8621107182641545
clinic,ankspond,119,0.5763549183900809
clinic,biologic,338,1.6370417009735072
clinic,ctd,623,3.017387513924541
clinic,eia,1087,5.264687363781663
clinic,flare,676,3.2740834019470144
clinic,gca,675,3.2692400833050805
clinic,genrheum,1442,6.984065481668039
clinic,met_bone,216,1.0461568266576258
clinic,msk,1537,7.444180752651717
clinic,nurse,32,0.15498619654187049
clinic,orth_rheum,125,0.6054148302416816
clinic,oxsport,1407,6.814549329200369
clinic,psa,171,0.8282074877706205
clinic,vasculitis,301,1.4578389112219692
clinic,xlh,15,0.07264977962900179
clinic,NA,11705,56.69104470383106
